id	ko	ja	pos	pos_tag	lemma
894	시험	試験	Noun	NNG	시험
895	식당	食堂	Noun	NNG	식당
896	식사	食事	Noun	NNG	식사
897	식탁	食卓	Noun	NNG	식탁
898	신	新、神	XPN	XPN	신
899	신다	履く	Verb	VV	신다
900	신문	新聞	Noun	NNG	신문
901	신발	履物、靴	Noun	NNG	신발
902	신청서	申請書	Noun	NNG	신청서
903	신청하다	申請する	Noun	NNG	신청
904	실례	失礼	Noun	NNG	실례
905	실례하다	失礼する	Noun	NNG	실례
906	실수	失敗、ミス	Noun	NNG	실수
907	싫다	嫌いだ	Adjective	VA	싫다
908	싫어하다	嫌う	Adjective	VA	싫다
909	심하다	ひどい、（度が）過ぎる	Adjective	VA	심하다
910	십	10	Numeral	NR	십
911	십이월	１２月	Numeral	NR	십이
912	십일월	１１月	Noun	NNG	십일월
913	싱겁다	（味が）薄い	VA-I	VA-I	싱겁다
914	싶다	～したい	AuxVerb	VX	싶다
915	싸다	包む、安い	Adjective	VA	싸다
916	싸우다	けんかする、争う	Verb	VV	싸우다
917	쌀	米	Noun	NNG	쌀
918	쌀밥	米飯、ごはん	Noun	NNG	쌀밥
919	쌓이다	積もる	Verb	VV	쌓이다
920	썰다	切る	Verb	VV	썰다
921	쓰기	書くこと、書き取り	Verb	VV	쓰다
922	쓰다	書く、使う、めがねをかける	Verb	VV	쓰다
923	쓰레기	ごみ	Noun	NNG	쓰레기
924	쓰이다	使われる、使える	Verb	VV	쓰이다
925	씨	～氏	Interjection	IC	씨
926	씩	～ずつ	Adverb	MAG	씩
927	씹다	噛む	VV-R	VV-R	씹다
928	씻다	洗う	VV-R	VV-R	씻다
929	아가씨	お嬢さん	Noun	NNG	아가씨
930	아기	赤ちゃん、幼児	Noun	NNG	아기
931	아까	さっき	Adverb	MAG	아까
932	아내	妻	Noun	NNG	아내
933	아뇨	いいえ	Interjection	IC	아뇨
934	아니다	～でない	NegCopula	VCN	아니다
935	아니오	いいえ	Interjection	IC	아니오
936	아니요	いいえ	Interjection	IC	아니요
937	아들	息子	Noun	NNG	아들
938	아랍어	アラビア語	Noun	NNP	아랍어
